GEOID,lat,lon,housing_score,housing_insecurity_high,nearest_grocery_miles,food_distance_norm,within_half_mile,within_one_mile,LILATracts_1And10,LILATracts_halfAnd10,food_insecurity_high,quadrant,service_gap,nearest_food_bank_miles,nearest_food_bank_name,nearest_wic_miles,nearest_wic_name,nearest_grocery_name,B19013_001E,poverty_rate,pct_hispanic
480291914053,29.5728498,-98.5346624,0.2205882352941176,0,1.3775892459718952,0.0984478499312876,0,0,0.0,0.0,1,High Food Only,0,6.214646834464688,HOPE Help Other People Eat,4.649425802136077,WIC Clinic Babcock,HEB 102,142500,0.0,0.3048433048433048
480291921001,29.4162394,-98.4972922,0.6120689655172414,1,0.1887441844211161,0.0119712286789508,1,1,0.0,0.0,0,High Housing Only,0,0.5637823553554064,Salvation Army San Antonio,1.0601996659923945,WIC Clinic San Saba,HEB Food Store 718,94722,0.0330188679245283,0.3487544483985765
480291601004,29.410036,-98.5265175,0.5660377358490566,1,1.11447719665071,0.0793090724976712,0,0,0.0,1.0,1,High Housing + High Food,0,0.47626976642686375,Catholic Charities St. Stephen's CARE Center,0.9605124691598665,WIC Clinic San Saba,HEB 699,27040,0.219059405940594,0.9941682013505218
480291601001,29.4131297,-98.5164715,0.2962962962962963,0,1.0525101267685633,0.0748015861938417,0,0,0.0,1.0,1,High Food Only,0,0.8642501443640717,Catholic Charities St. Stephen's CARE Center,0.4639530857022971,WIC Clinic San Saba,HEB 699,-666666666,0.2976190476190476,1.0
480291702005,29.4228097,-98.5161315,0.6931506849315068,1,0.6278817870708344,0.0439141095220293,0,1,0.0,1.0,0,High Housing Only,0,0.3251126311675072,Society of St. Vincent de Paul,0.22849818910614725,WIC Clinic San Saba,HEB 466,18013,0.5108695652173914,0.9858356940509916
480291902004,29.4499863,-98.4955719,0.4610983981693364,0,0.9563647723069916,0.0678079705648215,0,1,0.0,0.0,0,Low Both,0,0.5293639128848836,Christian Assistance Ministry,2.2924891138334114,WIC Clinic MLK,La Michoacana Meat Market San Antonio 5,52688,0.0,0.4172413793103448
480291918101,29.6757187,-98.460973,0.223149693934335,0,2.3938931697294143,0.1723738242524493,0,0,0.0,0.0,1,High Food Only,0,11.451388891401828,Summit Pantry,11.306640335350705,WIC Clinic Rittiman,HEB 108,58393,0.220554272517321,0.3867129400099157
480291904002,29.4619227,-98.4877677,0.1529850746268656,0,0.7731552266242063,0.0544813033613121,0,1,0.0,0.0,0,Low Both,0,1.2752621661006707,Christian Assistance Ministry,2.6037738507535595,WIC Clinic MLK,HEB 385,131677,0.0,0.3947290494521764
480291701023,29.429595,-98.520351,0.3253652058432935,0,0.2611397521495635,0.0172372841922187,1,1,0.0,1.0,0,Low Both,0,0.22377591091538243,Society of St. Vincent de Paul,0.370593382166374,WIC Clinic Buena Vista,HEB 466,41250,0.189873417721519,0.9743742550655542
480291919002,29.4281985,-98.4642739,0.545171339563863,1,0.3120498072602112,0.0209404829488306,1,1,0.0,1.0,0,High Housing Only,0,1.8819917417101746,Christian Assistance Ministry,0.10815341235628458,WIC Clinic MLK,HEB 211,41429,0.3475609756097561,0.5514184397163121
480291509005,29.3650259,-98.499192,0.3859649122807018,0,0.5976753438550102,0.041716892042783,0,1,0.0,1.0,0,Low Both,0,1.8104862923394658,Family Service Presa Community Center,0.7606225214458667,WIC Clinic South Flores,HEB 427,43750,0.3094688221709007,0.8992084432717679
480291620033,29.2168134,-98.6366035,0.2666666666666666,0,9.082706766144971,0.6589183023446459,0,0,0.0,0.0,1,High Food Only,0,14.437582139583075,Catholic Charities St. Stephen's CARE Center,12.309263821906224,WIC Clinic South Flores,HEB Food Store 651,76250,0.0919540229885057,0.581646423751687
480291710001,29.4267107,-98.5568118,0.3219373219373219,0,0.6071017624923071,0.042402569984028,0,1,0.0,1.0,0,Low Both,0,0.9482508024884151,San Antonio Food Bank,0.2675469004515422,WIC Clinic Castroville,HEB 205,33409,0.3045977011494253,0.9581972566949706
480291817041,29.5150074,-98.6409898,0.4567901234567901,0,0.318568834255278,0.0214146771450456,1,1,0.0,0.0,0,Low Both,0,1.2971593054042414,HOPE Help Other People Eat,1.4785704678762719,WIC Clinic Grissom,HEB 224,85150,0.0967078189300411,0.5351716375914463
480291817042,29.5023002,-98.6345896,1.0,1,1.272623831832122,0.0908126629277605,0,0,0.0,0.0,1,High Housing + High Food,0,1.4876644711141986,HOPE Help Other People Eat,2.4324490282134574,WIC Clinic Grissom,HEB 224,33472,0.3971631205673759,0.6648291069459757
