CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LowIncomeTracts,LA1and10,LAhalfand10,PovertyRate,MedianFamilyIncome,lapop1share
48029161200,Texas,Bexar County,0,0,1,0,0,26.361130254996603,45109.0,97.406986285162
48029161302,Texas,Bexar County,0,1,1,0,1,22.429749284872997,42204.0,1.68400656126375
48029161303,Texas,Bexar County,0,1,1,0,1,23.6259228876128,36734.0,0.000631766670509468
48029161304,Texas,Bexar County,1,1,1,1,1,23.1795088907705,46908.0,63.038897519455396
48029161400,Texas,Bexar County,0,0,0,0,1,10.265087422447799,76889.0,0.14309081666308401
48029161501,Texas,Bexar County,1,1,1,1,1,29.7516656571775,38900.0,26.257856605121198
48029161503,Texas,Bexar County,0,1,1,0,1,24.8864309697808,49167.0,
48029161504,Texas,Bexar County,0,1,1,0,1,24.6453525301715,40975.0,2.67124988329188
48029161600,Texas,Bexar County,0,1,1,0,1,19.9284511784512,40081.0,3.43297277905467
48029161801,Texas,Bexar County,0,0,0,1,1,10.4132994689448,69375.0,13.6512107148308
48029161802,Texas,Bexar County,1,1,1,1,1,18.1862841422676,51856.0,11.030399809729401
48029161901,Texas,Bexar County,0,0,1,0,0,19.4770063119928,38594.0,100.000000216134
48029161902,Texas,Bexar County,0,0,0,0,0,14.285714285714299,67513.0,99.4812906557985
48029162001,Texas,Bexar County,0,0,1,0,0,17.9799738789726,55000.0,99.275995782815
48029162003,Texas,Bexar County,0,0,1,0,0,22.5090839548671,46382.0,67.0343531312516
48029162004,Texas,Bexar County,0,0,1,0,0,15.6241752441277,44663.0,99.5130031141598
48029170101,Texas,Bexar County,0,1,1,0,1,33.001077586206904,37000.0,
48029170102,Texas,Bexar County,0,1,1,0,1,27.8253661232385,41467.0,
48029170200,Texas,Bexar County,0,1,1,0,1,42.7455965135282,27988.0,
48029170300,Texas,Bexar County,0,1,1,0,1,32.4338172502135,34028.0,
48029170401,Texas,Bexar County,0,1,1,0,1,43.4582662681076,22672.0,
48029170402,Texas,Bexar County,0,1,1,0,1,34.083217200876,36278.0,
48029170500,Texas,Bexar County,1,1,1,1,1,32.1310116086236,42951.0,35.2405503251625
48029170600,Texas,Bexar County,0,0,1,0,0,14.8495420846053,52404.0,
48029170700,Texas,Bexar County,0,1,1,0,1,22.8520988622989,45758.0,
48029170800,Texas,Bexar County,0,1,1,0,1,40.5458089668616,22750.0,
48029170900,Texas,Bexar County,0,1,1,0,1,33.6014073887912,29750.0,
48029171000,Texas,Bexar County,0,1,1,0,1,39.9900315667054,27917.0,
48029171100,Texas,Bexar County,0,1,1,0,1,30.899608865710597,34125.0,0.441789793711837
48029171200,Texas,Bexar County,0,1,1,0,1,21.7532467532468,34067.0,
48029171301,Texas,Bexar County,0,1,1,0,1,29.027628274129903,34583.0,14.160094181356401
48029171302,Texas,Bexar County,1,1,1,1,1,35.1968054763263,39583.0,30.5209428938909
48029171401,Texas,Bexar County,1,1,1,1,1,19.5918367346939,51905.0,99.8004504482077
48029171402,Texas,Bexar County,1,1,1,1,1,26.3393546394936,42225.0,76.3218313365758
48029171501,Texas,Bexar County,1,1,1,1,1,30.922098569157402,42396.0,77.21410783443619
48029171502,Texas,Bexar County,0,1,1,0,1,26.3601263601264,31875.0,7.04537383337565
48029171601,Texas,Bexar County,0,1,1,0,1,38.752052545156005,32961.0,0.119478913071657
48029171602,Texas,Bexar County,1,1,1,1,1,47.7633069082673,26507.0,88.43945283733869
48029171700,Texas,Bexar County,0,1,1,0,1,19.0802348336595,41791.0,0.08782925757956
48029171801,Texas,Bexar County,0,1,1,0,1,17.1265800249243,52796.0,
48029171802,Texas,Bexar County,1,1,1,1,1,30.8496515101228,36131.0,8.7418393148333
48029171902,Texas,Bexar County,0,1,1,0,1,25.4682675814751,49590.0,0.0
48029171903,Texas,Bexar County,1,1,1,1,1,14.378145219266699,53555.0,24.8765210301997
48029171912,Texas,Bexar County,0,0,0,1,1,5.84562242593331,84489.0,21.389604172188
48029171913,Texas,Bexar County,0,1,1,0,1,21.9584569732938,45495.0,
48029171914,Texas,Bexar County,0,0,0,1,1,10.8881998905709,77708.0,48.7083973460199
